zaxis,yaxis,H,Li,Be,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Nd,Sm,Gd,Dy,Er,Yb,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
Al,Ru,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04681635,0,0,0,0,0,0,0,0,0.088869374,0,0.163747886,0,0,0,0,0.805103463,0,0,0,0,0,0,0,0.585353442, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.87557212,38.94823363,0,0,0,0,0,0,0,0
Al,Rh,0,0,0,0,0,0,0,0,0,0,0,0,0,3.086578818,0,0,0,0,0,0,0,0,0.134689445,0,0.819813407,0.090156794,0,0,0,1.313112934,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.118504505,0.628506469,0,0,0,0.087558825,0,0,0
Al,Pd,0,0,0,0,0,0,48.96064507,0,0,0,0,4.181941382,0,2.057780157,0,0,0,0,0,0,0,0,0,0,0.022025924,0.145381938,0.632471607,0,0,1.550045962,7.259323555,0,0,0,0,0,0,0,0,0, ,0.902853015,0,0,8.948860179,1.719380562,14.72288414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763934022,0,0.971325719,0,0.029220971,2.034216133,0,0
Al,Ag,39.87512618,0,0,0,0,0,124.7277158,2.767943062,0,0,0,0,0,60.07099507,1.007504555,3.12504846,11.40365474,0,0,1.96890092,0,3.233682426,4.46817724,0,1.376874528,5.644530059,0.608896682,0,0.714239852,2.828016082,3.574762806,0.768327819,0,0,0,0,0,0,0,0,0.902853015, ,0.135326786,0.605013337,0.827933174,40.49096147,8.280559281,1.624031961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0203647,14.27320004,5.63100472,18.36265941,13.39274349,0,0
Al,Cd,0.292278874,0,0,0,0.237736431,0,2.063762648,0,0,0,0,0,-0.105619159,5.740023968,0.100978236,0.064492205,1.439273424,0,0,0,0,0,0.923245468,0,0,3.253455029,0.414197437,0,0.379032484,0.519239408,0.395170102,0,0,0,0,0,0,0,0,0,0,0.135326786, ,0.779776298,0.26479165,0.017134562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760217819,0.021365157,0,0
Al,In,1.9480196,0,0,0,0,0,7.01060985,0,0,0,0,0,0,3.086578818,0,0,0,0,0,0,0,0,0.121086766,0,0,0.482450228,1.358327844,3.099960427,0,0.137816754,0,0,0,0,0,0,0,0,0,0,0,0.605013337,0.779776298, ,4.415903864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.624252357,0,0,0,0.087558825,0.407826028,0,0
Al,Sn,-7.947528307,0.059892578,-0.113153234,-0.049260835,0,0.137732345,16.794695,1.423069799,-3.629798414,-1.389647218,0,2.193218257,0,4.462764732,0.860500224,1.434373197,-1.098413768,0.143510576,0,0.457398653,0,0.322780877,0.39632793,0,0.471992539,3.274768626,-1.927708757,0,0,1.159810835,0,0,0,0,0,0,0.45983074,0.100057638,0,0,8.948860179,0.827933174,0.26479165,4.415903864, ,0.534175509,0.241443871,0,0,0.784127447,0,0,0,0,0,0,0,0,0,1.482093679,0.071192597,0,0,0,3.329866187,0.179644687,0.139064652,0.120544563,0.344642903,0.25558054,0,0
Al,Sb,39.14280684,0,-0.732196665,-2.155167869,0,1.092199846,63.07163254,4.190054413,7.827279424,-4.04490901,0,-14.97859461,0,44.14157531,0.924533379,3.983492118,9.653580062,0,3.486630195,2.431339163,1.100018062,1.516057588,3.031488547,0.127796586,0.088362616,0.566032715,1.151772075,0,0,5.276100721,0.118172919,0.137738567,0,0,0,1.116819613,1.577076727,0.604405588,0,0,1.719380562,40.49096147,0.017134562,0,0.534175509, ,0.003163797,0,0,0,0,0,0,0,0,0,0,0,0,0.07005072,0.076824059,0,0,0.025992104,0.182380433,1.361742795,2.02076044,18.10403186,32.81359879,0.428476057,0,0
Al,Te,10.0903246,0,0,0,2.704754049,0,17.89300582,0,0,2.038305889,0,0,4.620641816,1.270706851,0.047930313,2.922350129,6.730732103,0,2.696474495,1.817072665,0.619360661,2.528567181,2.921537394,0.331600026,0.082393541,4.204237204,0.340852836,0,0.024145178,3.51315824,0.991265043,0,0,0,0,0,0,0.275289594,0,0,14.72288414,8.280559281,0,0,0.241443871,0.003163797, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016853883,0,0,1.455504762,0.064692972,28.14004498,0.138612162,0.320043203,8.705125708,15.19314779,0,1.219523391
Al,I,0.913753581,0,0,0,0.221642949,0,1.524029786,0,0.005279022,0.079374123,0,0,0,0.088041358,4.079078316,0.026420495,0.23059588,0,0,0,0.671538902,0,0,0,0,0.093894688,0,0,0,0.641694379,0.099833659,34.89296607,0,0,0,0,0,0,0,0,0,1.624031961,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.50746259,0,0.041041166,0.148121631,0,0
Al,Cs,0.059026298,-2.294943189,-4.631718751,-1.559024441,0,0,-0.267777915,-3.832534403,0.323660101,0,0,-2.444318743,0.332982055,0.486965859,0,0.117549251,0.081187275,0,0.037892238,0.032047655,0,0.220449601,0.528614242,0,0,0.346814093,0,0,0,0.104850298,0,0,0,0,0,0.908482963,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0.621495334,0.652130396,0,0,0,0,0,0,0.233857642,0,0,0,0,0,0,0.098215452,0,0.157687621,0,0,0.005562521
Al,Ba,-0.392213174,-0.712097013,0.018465005,0.063676681,-1.744499997,0.929168655,-10.44795534,13.75277928,4.792972433,-0.443546424,0,-22.98592588,-1.213434425,-9.995304495,0.193365786,-2.184606897,-0.002885528,0,42.57401739,2.38428056,0.240751108,0.655287368,0.205386332,0,1.540807934,6.063924184,2.867292423,0,0,-4.00421166,1.133643402,0,0,7.400748511,0.107298131,0.066830563,6.236769308,0,0,0,0,0,0,0,0.784127447,0,0,0,0, ,0.056052544,3.220551183,0,0,0,0,0,0,0,0,0.120705648,0,0,0,0,0,0,0,4.907117566,0,0.146550636,0.165891085
Al,La,-0.954411396,0,0,-0.059184581,4.45062158,0,-2.105713682,2.357284053,0.740951703,-0.242853427,0,-1.3101212,0.09365446,0,0,0.983655769,-1.277697652,0,-1.884409439,-0.097137464,-0.324135216,-0.260367101,-1.901531428,0,0,0.325957876,0.270498753,0,0,-0.071022489,0,0,0,12.31480294,0.057872012,-0.16402227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056052544, ,-37.84953795,-1.960307782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944283388,0,1.505741166,0.252505129
Al,Ce,-0.152555534,0,-0.580318497,-0.243571884,14.10671631,0,6.537223712,12.49505091,6.041669744,-0.74695201,0,-8.330961034,0.000760801,-7.621674608,1.831009496,1.449514528,-7.482429673,0,18.02510422,-0.712411076,-0.035729839,-0.112627121,-0.135554887,0,0,3.947882784,1.708214354,0,0,-1.914332085,0,0,0,13.64545585,0.159645845,2.806330559,8.27385703,0.112900721,0,0,0,0,0,0,0,0,0,0,0.621495334,3.220551183,-37.84953795, ,-0.41695343,0,0,0,0,0,0,1.408408565,0.092319266,0,0,0,0,0,0,0,3.520449177,0,5.357427379,0.052674579
Al,Nd,-0.594759053,0,0,0,7.073636143,0,1.606296279,1.19579659,0.670466676,0,0,-0.415283143,0.41637728,0,0,0,-0.221708296,0,-0.227915448,0.060573038,0,-0.083978322,0,0,0,0.003294727,0,0,0,-0.072846484,0,0,0,0,0,0,0.394284384,0,0,0,0,0,0,0,0,0,0,0,0.652130396,0,-1.960307782,-0.41695343, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065167084,0,0,0.043907279
Al,Sm,0,0,0,0,0,0,-0.239018932,0,0,0,0,0,-1.952566954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al,Gd,0.477200506,0,0,0,0.849988314,0,0.230111245,0,0,0,0,0.294080165,0,0,0,0,0.308287984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.6363825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.179357212
Al,Dy,0,0,0,0,0,0,0.230111245,0,0,0,0,0,0,0,0,0,0.308287984,0,0,0,0,0,0,0,0,0,0,0,0,0.526596474,0,0,0,0,2.404777668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.6363825,0,0,0,0,6.507195816,0,0,0,0,0,0,0,0,0,0,0
Al,Er,0.477200506,0,0,0,0.849988314,0,0.230111245,0,0,0,0,0.294080165,0,0,0,0,0.308287984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.404777668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.6363825,45.53126214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al,Yb,0.026342714,0,0.653743028,0,0.03887999,0,0.30131389,0,0,0,0,0.85794184,0.301533368,0,0,0,0.032593689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490878849,0,0.358750274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.53126214, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al,Hf,0,0,0,0,0,0,0.230111245,0,0,0,0,0.294080165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.6363825,0,0,0,0,0,0,0,0,0,0,0,0,0
Al,Ta,7.089368744,0.115386782,0,-0.146140924,0.643198151,0,2.929952034,0.059563609,0.238217571,1.613649608,0,0,1.546022997,0,0,-0.15101779,0.010200137,0.307202726,6.163925235,0,0,0.093734903,0.046599624,0,0,0,0,0,0,1.442782386,0,0,0,0,21.02065793,0.028537985,40.34007459,0,0,0,0,0,0,0,1.482093679,0.07005072,0,0,0.233857642,0,0,1.408408565,0,0,0,0,0,0,0, ,0.285268478,0,0,0,0,0,0,0,-0.790064028,0.123267988,1.015358969,1.054644529
Al,W,0.309765156,0,0,0,0.242499987,0,0.398793473,0,0.695210358,-0.060729403,0,0.89495722,0,0.817964149,0.051526302,0.629291661,0.17969953,0,-0.13734086,0.133160306,0,0.145914636,0.239953756,0,0,0.321671031,0.063488262,0,1.872498929,1.183312518,0,0,0,0.179954702,-0.152940453,0.755163989,2.183969236,0,0,0,0,0,0,0,0.071192597,0.076824059,0.016853883,0,0,0.120705648,0,0.092319266,0,0,0,6.507195816,0,0,0,0.285268478, ,0,0,0,0,0,0,0,0.050675795,0.172622184,0,0.25612453
Al,Re,0,0,0,0,0,0,0,0,0,0,0,0,0,1.089150834,0,0,0,0,0,0,0,0,0.042435854,0,0,0.147077084,0,0,0,0,0,0,0,0,0,0,0,2.250844876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0
Al,Os,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136405704,0,0,0,0,0,0,0,0,0.184655034,0,0,0,0,0,0,0.247072031,0,0,0,0,0,0,0,0.67558555,99.87557212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,44.51072679,0,0,0,0,0,0,0,0
Al,Ir,0,0,0,0,0,0,0,0,0,0,0,0,0,1.215543285,0,0,0,0,0,0,0,0,0.450119904,0,0.554974945,0.187777988,0,0,0,0.001591201,0,0,0,0,0,0,0,0.192059032,38.94823363,1.118504505,0,0,0,0,0,0.025992104,1.455504762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.51072679, ,0.474555748,0,0,0,0.054957169,0.224179496,0,0
Al,Pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194048021,0,0,0,0,0,0,0,0,0.065896473,0,0.703961693,1.569709108,0,0,0,0.204812692,2.103139403,0,0,0,0,0,0,0,0,0.628506469,0.763934022,0,0,4.624252357,3.329866187,0.182380433,0.064692972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474555748, ,0,0.122916262,0,0.355687015,1.483465481,0,0
Al,Au,0,0,0,0,0,0,21.47139004,0,0,0,0,0,0,0.053812926,0,0,0,0,0,0,0,0,1.641123656,0,0,0.736661598,0,0,0,0,0.266416669,0,0,0,0,0,0,0,0,0,0,15.0203647,0,0,0.179644687,1.361742795,28.14004498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.137359285,0.85338186,2.759250539,0.276504032,0,0
Al,Hg,15.91314572,0,0,0,0.49400689,0.530637513,25.15681427,0,0,0,0,6.223058357,0,7.037390188,7.98547331,0,0,0,0,0.861123157,0.118366671,0,5.252807339,0,0.207352528,0.221191655,0.674012357,0,0,0.320437022,1.632045283,43.44829158,0,0,0,0,0,0.130370994,0,0,0.971325719,14.27320004,0,0,0.139064652,2.02076044,0.138612162,24.50746259,0.098215452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122916262,0.137359285, ,4.62750742,0.479876865,0.351540684,0,0
Al,Tl,11.12814175,0,0,0,0,0,35.86607509,0,0,0,0,0,0,29.74165063,0.027816046,0.391338951,0,0,0,0.142789183,0,0,0.771670392,0,0.232473186,0.644877118,0.257660599,0,0,24.37981669,0.179536988,0,0,0,0,0,0,0,0,0,0,5.63100472,0,0,0.120544563,18.10403186,0.320043203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85338186,4.62750742, ,3.019432852,0.241619872,0,0
Al,Pb,13.10393777,0,2.416863876,4.727830891,1.825378462,-1.906092043,27.58535988,2.71407439,-21.82434933,12.04523281,0,-19.39200407,-4.810017138,37.54185405,16.75722214,6.817761695,-22.50903404,0,6.620387366,0.147698992,1.049175695,3.435310948,4.344636745,1.439105563,2.938323784,9.254955962,0.116553628,-0.429776832,-1.85767568,7.235912191,2.107507496,0,0,2.828054335,1.591694964,0,2.8852707,0.61686512,0,0.087558825,0.029220971,18.36265941,0.760217819,0.087558825,0.344642903,32.81359879,8.705125708,0.041041166,0.157687621,4.907117566,0.944283388,3.520449177,0.065167084,0,0,0,0,0,0,-0.790064028,0.050675795,0,0,0.054957169,0.355687015,2.759250539,0.479876865,3.019432852, ,35.16786214,0.684531465,0.006132078
Al,Bi,23.71294667,0,0,0,4.018376705,0.57402181,54.54389449,2.316687588,9.527038204,6.052835235,0,14.13177677,2.30212134,24.8997604,1.003736387,4.610558223,12.87533091,0,0,0.549364054,0.599213796,6.915617584,4.91023104,0.08866664,0.011566993,6.232117912,3.006383967,0,0,0.761635243,14.83522165,0.1765185,0,0,0,0,1.801803015,1.165924596,0,0,2.034216133,13.39274349,0.021365157,0.407826028,0.25558054,0.428476057,15.19314779,0.148121631,0,0,0,0,0,0,0,0,0,0,0,0.123267988,0.172622184,0,0,0.224179496,1.483465481,0.276504032,0.351540684,0.241619872,35.16786214, ,0,1.410330956
Al,Th,1.076777823,0,0,-0.247719457,0.073928896,0,2.24829637,0.315554351,0.488886258,0,0,1.196550429,-1.313489135,0,0,0.002122786,6.542965288,0,4.216506673,0,0,0.326509909,0.130227762,0,0,0,0,0,0,0.861489986,0,0,0,0.313491303,6.214021312,0,6.896784585,0.930274265,0,0,0,0,0,0,0,0,0,0,0,0.146550636,1.505741166,5.357427379,0,0,0,0,0,0,0,1.015358969,0,0,0,0,0,0,0,0,0.684531465,0, ,1.300452183
Al,U,35.12419178,0,0,0,1.379064816,0.21073865,17.65057174,-1.570095389,1.598833956,1.412882611,0,10.27985742,-4.978617586,2.293735008,5.280636154,0.021197295,0.026302254,0,0.034069006,1.111906265,0.069407858,5.289311869,5.041709613,0.093848446,0.960743114,4.091049628,2.256259232,0,0,0.005617929,0.062436761,0,0,0.690881147,5.887036271,1.574465758,0.944277984,1.999703982,0,0,0,0,0,0,0,0,1.219523391,0,0.005562521,0.165891085,0.252505129,0.052674579,0.043907279,0,1.179357212,0,0,0,0,1.054644529,0.25612453,0,0,0,0,0,0,0,0.006132078,1.410330956,1.300452183, 
Si,H, ,-1.261912654,-0.283131721,-3.271306677,10.25829933,12.37429987,-292.5563631,-10.93893779,-3.631952931,-9.572915592,-38.24704564,0,34.47580361,19.20245962,0.234977445,-1.740506184,-18.80044161,-1.158397099,-2.055026719,3.794883616,-2.155222511,-6.828437838,-2.232239634,0.116773143,3.170369426,2.7738883,6.415602297,0.076622567,1.045769795,0.458707301,16.59502856,1.029864727,0.163546061,-0.181929973,-0.012130209,-0.243080351,-0.479507421,0.55241409,0,0,0,42.92061071,0.333160871,2.110463688,8.413044439,41.37848807,11.27414445,1.067124621,-0.040810349,-0.005054528,-0.910211117,-0.592620506,0.64531121,0.033607649,0,0,0,0,0,6.806553307,0.381246997,0,0,0,0,0,17.08400488,11.77459165,15.09322775,26.34806685,-0.713799579,33.34235265
Si,Li,-1.261912654, ,-2.696707733,-0.762127721,0.628766131,0,-1.14961943,-7.888287821,-1.688775223,-0.00434911,-1.596797763,0,8.260459473,0,1.649354643,-2.475918125,-3.704424365,0,0,0,0,-0.212372276,-0.238214891,0,0,0,0,0,0,1.488655305,0,0,0,0.705843212,-0.032050457,-0.061379922,0,0,0,0,0,0,0,0,0,0,0,0,-1.309549843,-1.558700329,0,0,0,0,0,0,0,0,0,0.578254739,0,0,0,0,0,0,0,0,0,0,0,0
Si,Be,-0.283131721,-2.696707733, ,-0.534706989,1.725187538,0,-4.482471649,-0.01812757,-0.143565038,-0.535713536,-0.000956102,0,11.17103507,0,0,-0.339334664,-3.021392841,0,-1.432529765,0.849151072,0.007792566,-0.009324659,-0.794268982,0,0,0,-0.062168604,0,0,1.106555578,0,0,0,0.666471065,0,0.25898436,0,0,0,0,0,0,0,0,-0.270213521,-0.302734585,0,0,-3.084852321,-0.422461343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Si,B,-3.271306677,-0.762127721,-0.534706989, ,1.183691882,0.080317932,-10.68734395,-0.935161978,-0.190562706,-14.33502432,-1.302796181,0,-5.253967277,11.17137008,3.313567165,-1.942221227,-6.364575811,0,-2.098227407,0,-0.109613774,-1.044386395,-2.742445302,0,1.580338499,6.774303245,3.22732644,0,0,-5.767617855,0,0,0.311976712,-0.003338243,-1.667957065,-1.176397952,-0.990281101,0,0,0,0,0,0,0,0.012130808,1.889225667,0,0,-1.234310728,0,-0.096414905,-0.055776227,0,0,0,0,0,0,0,-0.062215927,0,0,0,0,0,0,0,0,-4.326098212,0,0,0
Si,C,10.25829933,0.628766131,1.725187538,1.183691882, ,0.728272727,15.51085048,1.748247184,8.162013308,0.891009496,-0.819672446,0,6.759660862,13.02987152,-0.062122429,-1.538116044,9.283206465,0,-3.42803661,-4.6325908,0.27624399,2.65577824,11.76158815,0.357365146,0.097980243,4.254316697,1.415839845,0,0.398915684,15.9819897,0,0.058495243,0,3.644154046,11.65890275,-0.347096975,-1.301610184,1.328649873,0,0,0,0,0.33113229,0,0,0,3.197308311,0.30268328,0,3.643520636,5.201000027,18.79772654,6.523066504,0,0,0,0,0,0,0.832723734,-0.297311729,0,0,0,0,0,0.700859454,0,2.558396177,4.655739696,0.126223216,0.875006122
Si,N,12.37429987,0,0,0.080317932,0.728272727, ,1.464116341,-0.377668807,0.017676902,0.320876901,-0.048306548,0,0.213288634,1.901508263,3.637786874,0.803185206,3.433413263,0,0.97670045,0.680918276,0.183457857,2.306359614,0.371740379,0.06163788,0.119140682,1.168665635,0,0,0,2.810192991,0,1.492141186,0,0,0,0,0,0.046462702,0,0,0,0,0,0,0.208987507,1.402354164,0,0,0,0.56317708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297886901,0,2.409385447,0.837384969,0,0.404885993
Si,O,-292.5563631,-1.14961943,-4.482471649,-10.68734395,15.51085048,1.464116341, ,-0.383857055,-25.9356824,-28.46450842,-31.47178625,0,41.93001392,100.5101529,2.931155728,-5.227338452,-51.39679963,-0.708957711,-8.202715635,10.71048067,0.131174292,-16.30307025,-2.814118426,2.0290666,19.08129522,17.7567633,3.710324314,0.278834305,3.312648253,5.046266058,31.8796057,0.480685104,-0.263566223,-4.278610755,-4.599702059,-3.05132099,-5.581494943,1.532208362,0,0,43.36325409,107.89138,1.41841687,6.018303276,-15.12806108,51.3565317,13.60154606,1.119090856,-0.061647636,-5.997710192,-1.831640425,-4.331286073,1.830719945,0.003483634,0,0.251419271,0,-0.027832134,0,3.76346582,0.520702215,0,0,0,0,18.57703846,20.82527876,30.01585477,21.48552491,45.65026826,-1.779850802,20.22487139
